,date,change,name
427,2013-09-23,0,삼성전자
428,2013-09-24,1,삼성전자
429,2013-09-25,0,삼성전자
430,2013-09-26,1,삼성전자
431,2013-09-27,0,삼성전자
432,2013-09-30,1,삼성전자
433,2013-10-01,1,삼성전자
434,2013-10-02,1,삼성전자
435,2013-10-04,0,삼성전자
436,2013-10-07,1,삼성전자
437,2013-10-08,0,삼성전자
438,2013-10-10,0,삼성전자
439,2013-10-11,1,삼성전자
440,2013-10-14,0,삼성전자
441,2013-10-15,1,삼성전자
442,2013-10-16,0,삼성전자
443,2013-10-17,1,삼성전자
444,2013-10-18,1,삼성전자
445,2013-10-21,0,삼성전자
446,2013-10-22,0,삼성전자
447,2013-10-23,0,삼성전자
448,2013-10-24,1,삼성전자
449,2013-10-25,0,삼성전자
450,2013-10-28,1,삼성전자
451,2013-10-29,1,삼성전자
452,2013-10-30,1,삼성전자
453,2013-10-31,0,삼성전자
454,2013-11-01,1,삼성전자
455,2013-11-04,0,삼성전자
456,2013-11-05,0,삼성전자
457,2013-11-06,0,삼성전자
458,2013-11-07,0,삼성전자
459,2013-11-08,0,삼성전자
460,2013-11-11,1,삼성전자
461,2013-11-12,1,삼성전자
462,2013-11-13,0,삼성전자
463,2013-11-14,1,삼성전자
464,2013-11-15,1,삼성전자
465,2013-11-18,1,삼성전자
466,2013-11-19,1,삼성전자
467,2013-11-20,0,삼성전자
468,2013-11-21,0,삼성전자
469,2013-11-22,1,삼성전자
470,2013-11-25,1,삼성전자
471,2013-11-26,1,삼성전자
472,2013-11-27,0,삼성전자
473,2013-11-28,1,삼성전자
474,2013-11-29,0,삼성전자
475,2013-12-02,0,삼성전자
476,2013-12-03,0,삼성전자
477,2013-12-04,0,삼성전자
478,2013-12-05,1,삼성전자
479,2013-12-06,0,삼성전자
480,2013-12-09,1,삼성전자
481,2013-12-10,0,삼성전자
482,2013-12-11,0,삼성전자
483,2013-12-12,0,삼성전자
484,2013-12-13,0,삼성전자
485,2013-12-16,1,삼성전자
486,2013-12-17,0,삼성전자
487,2013-12-18,1,삼성전자
488,2013-12-19,1,삼성전자
489,2013-12-20,0,삼성전자
490,2013-12-23,1,삼성전자
491,2013-12-24,0,삼성전자
492,2013-12-26,0,삼성전자
493,2013-12-27,0,삼성전자
494,2013-12-30,0,삼성전자
495,2014-01-02,0,삼성전자
496,2014-01-03,0,삼성전자
497,2014-01-06,1,삼성전자
498,2014-01-07,0,삼성전자
499,2014-01-08,0,삼성전자
500,2014-01-09,0,삼성전자
501,2014-01-10,0,삼성전자
502,2014-01-13,1,삼성전자
503,2014-01-14,1,삼성전자
504,2014-01-15,0,삼성전자
505,2014-01-16,1,삼성전자
506,2014-01-17,0,삼성전자
507,2014-01-20,1,삼성전자
508,2014-01-21,1,삼성전자
509,2014-01-22,1,삼성전자
510,2014-01-23,0,삼성전자
511,2014-01-24,1,삼성전자
512,2014-01-27,0,삼성전자
513,2014-01-28,0,삼성전자
514,2014-01-29,0,삼성전자
515,2014-02-03,0,삼성전자
516,2014-02-04,0,삼성전자
517,2014-02-05,0,삼성전자
518,2014-02-06,1,삼성전자
519,2014-02-07,1,삼성전자
520,2014-02-10,1,삼성전자
521,2014-02-11,1,삼성전자
522,2014-02-12,0,삼성전자
523,2014-02-13,0,삼성전자
524,2014-02-14,1,삼성전자
525,2014-02-17,0,삼성전자
526,2014-02-18,1,삼성전자
527,2014-02-19,0,삼성전자
528,2014-02-20,0,삼성전자
529,2014-02-21,1,삼성전자
530,2014-02-24,0,삼성전자
531,2014-02-25,1,삼성전자
532,2014-02-26,1,삼성전자
533,2014-02-27,0,삼성전자
534,2014-02-28,1,삼성전자
535,2014-03-03,0,삼성전자
536,2014-03-04,0,삼성전자
537,2014-03-05,1,삼성전자
538,2014-03-06,0,삼성전자
539,2014-03-07,1,삼성전자
540,2014-03-10,0,삼성전자
541,2014-03-11,1,삼성전자
542,2014-03-12,0,삼성전자
543,2014-03-13,0,삼성전자
544,2014-03-14,0,삼성전자
545,2014-03-17,0,삼성전자
546,2014-03-18,1,삼성전자
547,2014-03-19,0,삼성전자
548,2014-03-20,0,삼성전자
549,2014-03-21,1,삼성전자
550,2014-03-24,0,삼성전자
551,2014-03-25,0,삼성전자
552,2014-03-26,1,삼성전자
553,2014-03-27,1,삼성전자
554,2014-03-28,1,삼성전자
555,2014-03-31,1,삼성전자
556,2014-04-01,0,삼성전자
557,2014-04-02,1,삼성전자
558,2014-04-03,1,삼성전자
559,2014-04-04,0,삼성전자
560,2014-04-07,1,삼성전자
561,2014-04-08,0,삼성전자
562,2014-04-09,0,삼성전자
563,2014-04-10,1,삼성전자
564,2014-04-11,0,삼성전자
565,2014-04-14,1,삼성전자
566,2014-04-15,0,삼성전자
567,2014-04-16,1,삼성전자
568,2014-04-17,0,삼성전자
569,2014-04-18,1,삼성전자
570,2014-04-21,1,삼성전자
571,2014-04-22,0,삼성전자
572,2014-04-23,1,삼성전자
573,2014-04-24,1,삼성전자
574,2014-04-25,0,삼성전자
575,2014-04-28,0,삼성전자
576,2014-04-29,0,삼성전자
577,2014-04-30,0,삼성전자
578,2014-05-02,1,삼성전자
579,2014-05-07,0,삼성전자
580,2014-05-08,1,삼성전자
581,2014-05-09,0,삼성전자
582,2014-05-12,1,삼성전자
583,2014-05-13,1,삼성전자
584,2014-05-14,1,삼성전자
585,2014-05-15,0,삼성전자
586,2014-05-16,1,삼성전자
587,2014-05-19,1,삼성전자
588,2014-05-20,1,삼성전자
589,2014-05-21,0,삼성전자
590,2014-05-22,0,삼성전자
591,2014-05-23,1,삼성전자
592,2014-05-26,0,삼성전자
593,2014-05-27,0,삼성전자
594,2014-05-28,1,삼성전자
595,2014-05-29,1,삼성전자
596,2014-05-30,0,삼성전자
597,2014-06-02,1,삼성전자
598,2014-06-03,1,삼성전자
599,2014-06-05,0,삼성전자
600,2014-06-09,0,삼성전자
601,2014-06-10,1,삼성전자
602,2014-06-11,0,삼성전자
603,2014-06-12,0,삼성전자
604,2014-06-13,0,삼성전자
605,2014-06-16,1,삼성전자
606,2014-06-17,0,삼성전자
607,2014-06-18,0,삼성전자
608,2014-06-19,0,삼성전자
609,2014-06-20,0,삼성전자
610,2014-06-23,1,삼성전자
611,2014-06-24,1,삼성전자
612,2014-06-25,0,삼성전자
613,2014-06-26,1,삼성전자
614,2014-06-27,0,삼성전자
615,2014-06-30,1,삼성전자
616,2014-07-01,0,삼성전자
617,2014-07-02,1,삼성전자
618,2014-07-03,0,삼성전자
619,2014-07-04,0,삼성전자
620,2014-07-07,0,삼성전자
621,2014-07-08,1,삼성전자
622,2014-07-09,1,삼성전자
623,2014-07-10,0,삼성전자
624,2014-07-11,0,삼성전자
625,2014-07-14,1,삼성전자
626,2014-07-15,1,삼성전자
627,2014-07-16,1,삼성전자
628,2014-07-17,1,삼성전자
629,2014-07-18,1,삼성전자
630,2014-07-21,1,삼성전자
631,2014-07-22,0,삼성전자
632,2014-07-23,0,삼성전자
